year,jyear,results
2017,平成29,"・春季都大会　　準決勝進出（4位）
　３回戦　西　41―7　合同B（東京電機大学・明法）
　４回戦　西　28―10　日大鶴ヶ丘
　準決勝　西　16―20　早大学院
　３位決定戦　西　6―37　駒場学園
・関東大会　　　準決勝進出（4位）
　１回戦　西　31―14　県立横浜栄
　２回戦　西　20―20　立教新座（ＴＢ6―0）
　準決勝　西　7―61　佼成学園
　３位決定戦　西　0―26　早大学院
・秋季都大会　　4回戦に進出　
　２回戦　西　12―7　日工大駒場
　３回戦　西　21―21　日大鶴ヶ丘（TB　6―7）"
2016,平成28,"・春季都大会　　4回戦に進出
　３回戦　西　7―7　早実（TB　○―○）（抽選勝ち）
　４回戦　西　7―23　　佼成学園
・秋季都大会　　3回戦で敗退
　２回戦　西　53―6　明学東村山
　３回戦　西　0―23　早実　　"
2015,平成27,"・春季都大会　　準決勝進出（4位）
　３回戦　西　42―12　日大二
　４回戦　西　6―6　駒場学園（TB　3―0）
　準決勝　西　7―24　早大学院
　３位決定戦　西　14―21　日大三
・関東大会　　1回戦で敗退
　１回戦　西　3―14　法政二
・秋季都大会　　3位
　３回戦　西　18―0　早実
　４回戦　西　14―0　東海大高輪台
　準決勝　西　6―28　早大学院
　３位決定戦　西　24―7　日大三
・関東大会　　2回戦で敗退
　１回戦　西　16―7　千葉日大一
　２回戦　西　3―3　　慶應（TB　6―7）"
2014,平成26,"・春季都大会　　3回戦で敗退
　３回戦　西　7―27　足立学園
・秋季都大会　　4回戦に進出
　２回戦　西　27―0　都立富士
　３回戦　西　28―0　早実
　４回戦　西　7―31　駒場学園"
2013,平成25,"・春季都大会　　3回戦で敗退
　３回戦　西　6―14　東京都市大附属
・秋季都大会　　4回戦に進出
　３回戦　西　42―0　東京電機大附属
　４回戦　西　13―51　日大三"
2012,平成24,"・春季都大会　　3回戦で敗退
　３回戦　西　9―14　日大鶴ヶ丘
・秋季都大会　　4回戦に進出
　２回戦　西　23―13　明治学院
　３回戦　西　44―0　早実
　４回戦　西　8―18　早大学院"
2011,平成23,"・春季都大会　　3位
　３回戦　西　14―0　明治学院
　４回戦　西　42―6　都立北多摩
　準決勝　西　14―24　早大学院
　３位決定戦　西　―　日大三（震災影響から大会特別規定による抽選）
・関東大会　　1回戦で敗退
　１回戦　西　14―17　慶應
・秋季都大会　　準優勝
　３回戦　西　53―3　日体荏原
　４回戦　西　34―0　明学東村山
　準決勝　西　35―20　佼成学園
　決勝　西　19―21　早大学院
・関東大会　　3回戦に進出
　２回戦　西　53―7　三島
　３回戦　西　24―28　慶應"
2010,平成22,"・春季都大会　　2回戦で敗退
　２回戦　西　20―30　足立学園
・秋季都大会　　4回戦に進出
　３回戦　西　35―32　中大附属
　４回戦　西　6―42　日大三"
2009,平成21,"・春季都大会　　4回戦に進出
　２回戦　西　44―0　日大二
　３回戦　西　65―7　東京都市大附属
　４回戦　西　15―75　日大三
・秋季都大会　　4回戦に進出
　２回戦　西　47―6　明学東村山
　３回戦　西　45―0　都立富士
　４回戦　西　21―34　佼成学園"
2008,平成20,"・春季都大会　　4回戦に進出
　２回戦　西　44―6　合同B（昭和第一学園・関東第一・日体荏原）
　３回戦　西　20―14　駒場学園
　４回戦　西　28―40　日大鶴ヶ丘
・秋季都大会　　3回戦で敗退
　２回戦　西　66―0　都立片倉
　３回戦　西　3―14　佼成学園"
2007,平成19,"・春季都大会　　2回戦で敗退
　２回戦　西　0―16　中大附属
・秋季都大会　　2回戦で敗退
　１回戦　西　74―6　都立片倉
　２回戦　西　0―26　佼成学園"
2006,平成18,"・春季都大会　　3回戦に進出
　１回戦　西　21―9　都立三田
　２回戦　西　66―0　東京電機大附属
　３回戦　西　17―34　都立戸山
・秋季都大会　　準優勝
　１回戦　西　58―0　海城
　２回戦　西　30―0　都立戸山
　３回戦　西　18―13　明治学院
　準決勝　西　14―10　早大学院
　決勝　西　8―77　日大三
・関東大会　　　1回戦で敗退
　１回戦　西　7―13　浦和学院"
2005,平成17,"・春季都大会　　1回戦で敗退
　１回戦　西　７―７　佼成学園（抽選負け）
●平岡監督就任
・秋季都大会　　3回戦に進出
　１回戦　西　48―20　海城
　２回戦　西　12―6　早実
　３回戦　西　0―65　日大三"
2004,平成16,"・春季都大会　　1回戦で敗退
　１回戦　西　6―6　都立三田（抽選負け）
・秋季都大会　　2回戦で敗退
　１回戦　西　48―0　東京電機大附属
　２回戦　西　14―21　武蔵工大附属"
2003,平成15,"・春季都大会　　2回戦で敗退
　１回戦　西　46―0　関東第一
　２回戦　西　7―27　中大附属
・秋季都大会　　2回戦で敗退
　１回戦　西　55―0　堀越
　２回戦　西　3―7　早大学院"
2002,平成14,"・春季都大会　　2回戦で敗退
　１回戦　西　不戦勝
　２回戦　西　0―32　中大附属
・秋季都大会　　3回戦に進出
　１回戦　西　76―0　日大一
　２回戦　西　41―6　都立富士
　３回戦　西　7―10　日大三"
2001,平成13,"・春季都大会　　準決勝に進出（4位）
　２回戦　西　26―8　日大二
　３回戦　西　19―18　駒場学園
　準決勝　西　12―54　日大三
　３位決定戦　24―39　中大附属
・関東大会　　3位
　１回戦　西　12―0　花咲徳栄
　２回戦　西　26―12　三島
　準決勝　西　19―28　早大学院
　３位決定戦　西　35―7　埼玉栄
・秋季都大会　　3回戦に進出
　２回戦　西　39―26　正則学園
　３回戦　西　8―34　佼成学園"
2000,平成12,"・春季都大会　　3回戦に進出
　２回戦　西　26―6　早実　
　３回戦　西　0―26　日大三
・秋季都大会　　3回戦に進出
　２回戦　西　21―17　日体荏原
　３回戦　西　14―57　日大三"
1999,平成11,"・春季都大会　　3回戦に進出
　２回戦　西　21―20　正則学園
　３回戦　西　6―8　中大附属
・秋季都大会　　3回戦に進出
　１回戦　西　28―12　都立戸山
　２回戦　西　38―30　都立北多摩
　３回戦　西　7―30　早大学院"
1998,平成10,"●登張監督就任
・春季都大会　　3回戦に進出
　２回戦　西　23―6　海城
　３回戦　西　6―22　佼成学園　
・秋季都大会　　3回戦に進出
　１回戦　西　28―24　足立学園
　２回戦　西　30―6　都立三田
　３回戦　西　7―35　佼成学園"
1997,平成9,"・春季都大会　　3回戦に進出
　２回戦　西　54―40　早大学院
　３回戦　西　14―20　日大櫻丘
・秋季都大会　　2回戦で敗退
　１回戦　西　24―12　足立学園
　２回戦　西　6―28　中大附属"
1996,平成8,"・春季都大会　　3回戦に進出
　１回戦　西　21―6　堀越
　２回戦　西　20―6　早実
　３回戦　西　8―14　駒場学園
・秋季都大会　　準決勝に進出（4位）
　１回戦　西　44―8　正則
　２回戦　西　34―6　足立学園
　３回戦　西　34―6　正則学園
　準決勝　西　7―27　中大附属
　３位決定戦　西　14―48　駒場学園
　プレーオフ　西　9―13　埼玉栄"
1995,平成7,"・春季都大会　　2回戦で敗退
　１回戦　西　23―12　昭和第一学園
　２回戦　西　0―27　日大三
・秋季都大会　　3回戦に進出
　１回戦　西　14―12　都立小川
　２回戦　西　6―0　麻布
　３回戦　西　0―54　日大三　"
1994,平成6,"・春季都大会　　3回戦に進出
　１回戦　西　14―6　都立富士
　２回戦　不戦勝
　３回戦　西　0―8　駒場学園
・秋季都大会　　4回戦に進出
　１回戦　西　30―12　都立足立
　２回戦　西　28―18　都立戸山
　３回戦　西　36―16　都立北多摩
　４回戦　西　14―16　駒場学園"
1993,平成5,"・春季都大会　　準決勝に進出（4位）
　１回戦　西　42―0　麻布
　２回戦　西　20―0　駒場学園
　３回戦　西　28―24　都立北多摩
　準決勝　西　0―6　日大二
　3位決定戦　西　21―28　日大鶴ヶ丘
　プレーオフ　西　21―14　立教
・関東大会　　　2回戦で敗退
　１回戦　西　7―7　慶應（抽選勝ち）
　２回戦　西　9―20　三島（三島高校は関東大会初優勝）
・秋季都大会　　3回戦に進出
　１回戦　西　90―14　正則学園
　２回戦　西　14―6　日体荏原
　３回戦　西　8―12　中大附属"
1992,平成4,"・春季都大会　　準決勝に進出（4位）
　１回戦　西　28―6　佼成学園
　２回戦　西　9―0　関東第一
　３回戦　西　24―16　日大鶴ヶ丘
　準決勝　西　0―34　中大附属
　３位決定戦　西　8―34　日大三
・関東大会　　　2回戦で敗退
　１回戦　西　13―13　県立松陽（抽選勝ち）
　２回戦　西　0―20　中大附属
・秋季都大会　　準決勝に進出（4位）
　１回戦　西　12―9　駒場学園
　２回戦　西　14―14　都立小川（抽選勝ち）
　３回戦　西　28―15　明学東村山
　準決勝　西　7―17　中大附属
　３位決定戦　西　16―35　日大鶴ヶ丘　
　プレーオフ　西　8―14　埼玉栄"
1991,平成3,"・春季都大会　　3回戦に進出
　１回戦　西　59―0　麻布
　２回戦　西　6―0　駒場学園
　３回戦　西　14―21　中大附属
・秋季都大会　　2回戦で敗退
　１回戦　西　41―0　関東第一
　２回戦　西　14―16　早実"
1990,平成2,"・春季都大会　　3位
　１回戦　西　6―6　日大二
　２回戦　西　31―0　東海大高輪台
　３回戦　西　3―0　早大学院
　準決勝　西　7―21　都立戸山
　３位決定戦　西　0―0　都立小川（抽選勝ち）
・関東大会　　　1回戦で敗退
　１回戦　西　6―35　法政二
・秋季都大会　　3回戦に進出
　１回戦　西　35―0　都立石神井
　２回戦　西　30―6　都立大泉北
　３回戦　西　0―42　日大鶴ヶ丘"
1989,"昭和64
平成1","・春季都大会　　3回戦に進出
　１回戦　西　21―0　正則学園
　２回戦　西　6―0　早大学院
　３回戦　西12―13　日大鶴ヶ丘
・秋季都大会　　優勝
　１回戦　22―7　正則学園
　２回戦　7―7　早大学院
　３回戦　20―16　中大附属
　準決勝　26―21　日大櫻丘
　決勝　　30―0　日大三
・全国大会　　2回戦に進出
　１回戦　16―9　慶應
　２回戦　21―24　日大鶴ヶ丘"
1988,昭和63,"・春季都大会　　1回戦で敗退
　１回戦　西　12―20　佼成学園
・秋季都大会　　準決勝に進出（4位）
　１回戦　西　56―0　都立武蔵村山東
　２回戦　西　16―8　東海大高輪台
　３回戦　西　8―8　日大鶴ヶ丘（抽選勝ち）
　準決勝　西　0―21　日大櫻丘
　３位決定戦　西　0―30　日大一
・関東大会　　　1回戦で敗退
　１回戦　西　7―14　　　横浜商工"
1987,昭和62,"・春季都大会　　準決勝に進出（4位）
　１回戦　西　32―6　明学東村山
　２回戦　西　27―0　都立石神井
　３回戦　西　44―0　武蔵工大附
　準決勝　西　0―21　日大三
　３位決定戦　西　14―26　日大櫻丘
・関東大会　　　1回戦で敗退
　１回戦　西　8―28　法政二
・秋季都大会　　2回戦で敗退
　１回戦　西　52―0　玉川学園
　２回戦　西　8―42　日大鶴ヶ丘（日大鶴ヶ丘全国大会初優勝）"
1986,昭和61,"・春季都大会　　3位
　１回戦　不戦勝
　２回戦　西　50―0　日大一
　３回戦　西　33―0　都立石神井
　準決勝　西　14―32　日大三
　３位決定戦　西　50―26　佼成学園
・関東大会　　　1回戦で敗退
　１回戦　西　20―26　慶應
・秋季都大会　　準決勝に進出（4位）
　１回戦　西　47―6　東海大高輪台
　２回戦　西　39―0　都立石神井
　３回戦　西　28―0　日大二
　準決勝　西　0―23　日大櫻丘
　３位決定戦　西　6―22　早大学院
・関東大会　　　1回戦で敗退
　１回戦　西　6―27　慶應"
1985,昭和60,"●小野監督就任
・春季都大会　　3回戦に進出
　１回戦　西　21―0　都立北多摩
　２回戦　西　21―12　帝京
　３回戦　西　3―30　日大三
・秋季都大会　　3回戦に進出
　１回戦　西　7―0　東海大高輪台
　２回戦　西　13―0　城北
　３回戦　西　0―44　早大学院"
1984,昭和59,"・春季都大会　　3回戦に進出
　１回戦　西　39―6　駒込
　２回戦　西　14―8　日大二
　３回戦　西　0―12　日大櫻丘
・秋季都大会　　2回戦で敗退
　１回戦　西　26―0　都立大泉北
　２回戦　西　6―6　日大二（抽選負け）"
1983,昭和58,"・春季都大会　　3回戦に進出
　１回戦　西　26―0　都立大泉北
　２回戦　西　7―6　早実
　３回戦　西　7―20　立教
・秋季都大会　　3回戦に進出
　１回戦　西　39―6　都立石神井
　２回戦　西　22―0　攻玉社
　３回戦　西　8―62　日大櫻丘"
1982,昭和57,"・春季都大会　　2回戦で敗退
　１回戦　西　100―0　海城
　２回戦　西　7―20　日大一
・秋季都大会　　3回戦に進出
　１回戦　西　49―6　早実
　２回戦　西　27―6　埼玉栄
　３回戦　西　0―52　日大櫻丘"
1981,昭和56,"・春季都大会　　準優勝
　１回戦　西　36―2　電大付
　２回戦　不戦勝　対　海城
　３回戦　西　29―14　日大二
　準決勝　西　21―15　早大学院
　決勝　　西　7―50　駒場学園
・関東大会　　　1回戦で敗退
　１回戦　西　0―30　慶應
　３位決定戦　西　2―24　駒場学園
・秋季都大会　　準優勝
　１回戦　西　52―14　都立武蔵村山東
　２回戦　西　32―0　立教
　３回戦　西　28―6　日大三
　準決勝　西　38―24　都立富士
　決勝　　西　7―60　駒場学園（駒場学園全国優勝）
・関東大会　　1回戦で敗退
　１回戦　西　0―47　日大櫻丘"
1980,昭和55,"・春季都大会　　3回戦に進出
　１回戦　西　30―0　帝京
　２回戦　西　62―0　都立大泉北
　３回戦　西　6―36　日大三
・秋季都大会　　準優勝
　１回戦　西　38―0　聖学院
　２回戦　西　68―0　攻玉社
　３回戦　西　12―0　日大三
　準決勝　西　17―0　東海大高輪台
　決勝　　西　6―30　駒場学園
・関東大会　　1回戦で敗退
　１回戦　西　9―28　日大三"
1979,昭和54,"・春季都大会　　
　１回戦　西　46―0　玉川学園
　２回戦　西　36―0　東海大高輪台
　３回戦　西　16―36　早大学院
・秋季都大会　　3位
　１回戦　西　76―0　都立大泉北
　２回戦　西　90―0　日大荏原
　３回戦　西　6―6　日大一（抽選勝ち）
　準決勝　西　8―14　日大櫻丘
　３位決定戦　西　32―8　早大学院
・関東大会　　　1回戦で敗退
　１回戦　西　6―18　日大高"
1978,昭和53,"・春季都大会　　3位
　１回戦　西　8―0　日大櫻丘
　２回戦　西　0―0　都立富士（抽選勝）
　３回戦　西　0―30　駒場学園（駒場学園が決勝で戸山を破り優勝）
・秋季都大会　　優勝
　１回戦　西　27―0　豊南
　２回戦　西　43―0　佼成学園
　３回戦　西　24―0　都立富士
　準決勝　西　34―6　日大鶴ヶ丘
　決勝　　西　18―0　立教
・関東大会　　　1回戦で敗退
　１回戦　西　0―38　慶應（慶應が全国大会初優勝）"
1977,昭和52,"・春季大会　　1回戦で敗退
　１回戦　西　8―16　日大二
・秋季大会　　準決勝進出（4位）
　１回戦　不戦勝
　２回戦　西　28―8　都立戸山
　３回戦　西　16―12　東海大高輪台
　準決勝　西　0―54　駒場学園
・関東大会　　ベスト4に進出
　１回戦　西　36―30　日大高
　２回戦　西　6―76　駒場学園（駒場学園全国大会初優勝）"
1976,昭和51,"・春季大会　　1回戦で敗退
　１回戦　西　8―36　都立富士
・秋季大会　　1回戦で敗退
　１回戦　西　6―30　麻布"
1975,昭和50,"・春季大会　　2回戦で敗退
　１回戦　西　44―0　玉川学園
　２回戦　西　0―46　日大櫻丘
・秋季大会　　2回戦で敗退
　１回戦　西　52―6　明学東村山
　２回戦　西　0―22　駒場学園"
1974,昭和49,"・春季大会　　1回戦で敗退
　１回戦　西　0―44　慶應
・秋季大会　　2回戦で敗退
　１回戦　西　20―0　日大鶴ヶ丘
　２回戦　西　0―57　日大櫻丘"
1973,昭和48,"・春季大会　　3回戦進出
　１回戦　西　22―0　日大一
　２回戦　西　22―6　中大附属
　３回戦　西　12―22　慶應
・秋季大会　　立教高校と同点抽選の結果、3位で全国大会出場
　１回戦　西　22―12　駒場学園
　２回戦　西　0―52　日大櫻丘
　３位決定戦　西　14―14　立教
・全国大会（於：西宮球場）
　１回戦　西　0―48　大阪清風"
1972,昭和47,"・秋季大会　　準決勝進出（4位）
　１回戦　西　54―0　北多摩
　２回戦　西　8―6　駒場学園
　３回戦　西　0―84　日大櫻丘
　３位決定戦　西　8―12　日大一

・最後のタッチフットボール全国大会に出場（決勝戦のみ）
　　　　　西　0―14　虎姫"
1971,昭和46,"・春季大会　　　関東3位
　１回戦　不戦勝　対　聖学院
　２回戦　西　6―6　鎌倉学園
　３回戦　西　0―40　日大一
・秋季大会　　2回戦敗退
　１回戦　西　38―0　駒場学園（初出場）
　２回戦　西　12―34　早大学院"
1970,昭和45,"・秋季大会　　関東3位
　１回戦　西　14―0　慶應
　２回戦　西　60―0　正則
　３回戦　西　0―40　日大櫻丘

・第1回全国高校アメリカンフットボール選手権大会　出場
　　　　　　（於：駒沢第2競技場）
　１回戦　西　18―14　浪速（大阪）　劇的逆転勝利
　２回戦　西　0―44　日大櫻丘"
1969,昭和44,"春季大会よりタッチフットとアメフト両方に参加
・タッチフット
　準決勝で法政二に惜敗
・アメフト
　１回戦　西　44―0　聖学院
　２回戦　西　0―36　法政二（法政二が決勝で早学に勝ち優勝）

●アメリカンフットボールへ移行"
1968,昭和43,"●アメリカンフットボールへの移行始まる

　公式戦はタッチフットボールで行われたが、戦績不明（全敗か）"
1967,昭和42,"・春関東大会　　優勝
　　　　　西　1―0　目黒（不戦勝）　　
　　　　　西　28―0　法政二
　　　　　西　14―0　日大櫻丘
・秋関東大会　　優勝
　　　　　西　40―0　足立　　
　　　　　西　18―0　日大一
　　　　　西　12―12　日大櫻丘（抽選勝）　　
　　　　　西　12―0　法政二（決勝戦）
・全国大会
　１回戦　西　6―12　市立西宮（市立西宮が決勝で関学と対戦し優勝）"
1966,昭和41,"・春関東大会　　優勝（法政二と決勝引き分け）
・秋関東大会　　準優勝
・全国大会　　3位
　１回戦　西　8―0　彦根工業
　２回戦　西　22―6　箕面
　３回戦　西　0―20　関学（関学が決勝で市立西宮と対戦し優勝）"
1965,昭和40,"・全国大会（於：駒沢球技場）
　１回戦　西　6―6　長浜北　（抽選勝ち）
　２回戦　西　6―6　関学　　（抽選負け）　関学優勝"
1964,昭和39,"・秋　関東大会
　　　　　西　6―14　戸山　
　　　　　西　20―6　足立　
　　　　　西　不戦勝　対　烏山工業　
　　　　　西　6―6　慶應
　結果Ｂブロック3位

・全国大会に出場　　1回戦敗退
　１回戦　西　14―22　虎姫"
1963,昭和38,"●小野コーチ就任
・ブロック2位（日大櫻丘の堅陣抜けず、優勝ならず）となり、全国大会出場ならず"
1962,昭和37,"・宿敵戸山を打破、日大櫻丘に負け関東2位
・全国大会出場、準決勝進出
　１回戦　西　8―6　豊中　　　　
　２回戦　西　4―46　市立西宮"
1961,昭和36,"・関東Ａブロック1位となるがＢブロック1位の日大櫻丘に敗れ甲子園ボウル出場を逃す
・全国大会出場3位となる"
1960,昭和35,戦績不明
1959,昭和34,"●伝田・坂井コーチ就任、本格的な活動開始
　初めて夏合宿を行う

・第6回全国高校タッチフットボール大会に出場
　１回戦　西　12―0　豊中
　２回戦　西　2―0 　八幡商
　準決勝　西　0―58　関学"
1958,昭和33,・唯一足立高戦に勝つ（7―0）
1957,昭和32,・春季・秋季とも　全敗
1956,昭和31,"・春季
　遂に1勝、6―0　･･･相手不明"
1955,昭和30,・全敗
1954,昭和29,"・秋公式戦結果
　　　　　西　0―14　日大一
　　　　　西　0―14　戸山
　　　　　西　0―1 　九段（棄権）
　　　　　西　0―54　麻布
　　　　　西　6―20　慶應（シーズン唯一のタッチダウン）

第1回全国高校タッチフットボール大会始まる（藤井寺球場）"
1953,昭和28,"・春季大会
　1回戦　西―慶應　　（西高負け）
・秋季大会
　1回戦　西―麻布　　（西高負け）

・この年度はトーナメント形式であったもよう"
1952,昭和27,"・春公式戦　優勝
　戸山・新宿・九段・麻布・慶應と対戦
・秋公式戦　優勝
　戸山・新宿・九段・麻布・慶應と対戦
（なお、上記6校の他に2部校として早稲田・聖学院・日大櫻丘あり）

・第7回毎日甲子園ボウルに出場、0―47で関学高校に敗れる"
1951,昭和26,"　戦績不明
　慶應・麻布・聖学院・青山・戸山・新宿・（早稲田学院）と対戦"
1950,昭和25,"・春公式戦　全勝優勝　　（慶應と大接戦の末に勝つ）
　麻布・慶應・新宿・九段・青山と対戦
・秋公式戦　4戦4敗
　出場校が少なく、麻布・青山・新宿・九段と対戦"
1949,昭和24,"第3回毎日甲子園ボウルで高校日本一決定戦始まる

・春公式戦　全勝優勝　7戦全勝
　麻布・慶應・新宿・九段・府中農林・青山・聖学院と対戦
・秋公式戦　5勝1敗1分　　（慶應に負け、麻布と引き分け）
　麻布・慶應・新宿・九段・府中農林・青山・聖学院と対戦"
1948,昭和23,"●チーム創部　秋の公式戦出場を目指す
・秋公式戦　2位　4勝1敗（麻布のみに負け）
　麻布・慶應・新宿・九段・府中農林と対戦　"